2018-05-02	3
2018-05-03	3
2018-05-04	3
2018-05-05	3
2018-05-06	4
2018-05-07	4
2018-05-08	4
2018-05-09	4
2018-05-10	3
2018-05-11	3
2018-05-12	3
2018-05-13	3
2018-05-14	4
2018-05-15	4
2018-05-16	3
2018-05-17	3
2018-05-18	3
