0000-00-00 00 	2
2014-03-04 00 	1
2016-10-13 00 	1
2016-11-20 09 	2
2016-11-20 14 	7
2016-11-21 14 	2
2016-11-30 17 	8
2016-12-01 06 	1
2016-12-01 07 	1
2017-02-17 15 	1
2017-03-01 00 	2
2017-03-02 00 	2
2017-03-03 00 	2
2017-03-04 00 	2
2017-03-04 12 	3
2017-03-05 00 	2
2017-03-05 18 	1
2017-03-06 00 	2
2017-03-06 06 	1
2017-03-06 07 	1
2017-03-06 16 	5
2017-03-06 17 	3
2017-03-06 18 	1
2017-03-07 00 	2
2017-03-07 06 	68
2017-03-07 10 	2
2017-03-07 11 	1
2017-03-08 00 	2
2017-03-08 05 	3
2017-03-08 06 	20
2017-03-08 07 	20
2017-03-08 08 	32
2017-03-08 09 	10
2017-03-08 10 	6
2017-03-08 14 	13
2017-03-08 15 	10
2017-03-08 16 	2
2017-03-09 00 	2
2017-03-09 06 	33
2017-03-09 07 	27
2017-03-09 08 	45
2017-03-09 09 	21
2017-03-09 10 	3
2017-03-10 00 	2
2017-03-10 06 	21
2017-03-10 07 	27
2017-03-10 08 	59
2017-03-10 09 	15
2017-03-10 10 	4
2017-03-11 00 	2
2017-03-11 06 	31
2017-03-11 07 	26
2017-03-11 08 	24
2017-03-11 09 	17
2017-03-11 10 	4
2017-03-11 13 	5
2017-03-12 00 	2
2017-03-12 10 	15
2017-03-12 13 	2
2017-03-13 00 	2
2017-03-13 06 	37
2017-03-13 07 	24
2017-03-13 08 	41
2017-03-13 09 	19
2017-03-13 10 	5
2017-03-13 15 	1
2017-03-13 16 	1
2017-03-14 00 	2
2017-03-14 06 	33
2017-03-14 07 	22
2017-03-14 08 	50
2017-03-14 09 	16
2017-03-14 10 	4
2017-03-15 00 	2
2017-03-15 06 	38
2017-03-15 07 	38
2017-03-15 08 	49
2017-03-15 09 	21
2017-03-15 10 	4
2017-03-15 13 	1
2017-03-15 14 	21
2017-03-15 15 	20
2017-03-15 16 	1
2017-03-16 00 	2
2017-03-16 06 	37
2017-03-16 07 	30
2017-03-16 08 	45
2017-03-16 09 	16
2017-03-16 10 	8
2017-03-16 13 	3
2017-03-16 14 	26
2017-03-16 15 	24
2017-03-16 16 	14
2017-03-17 00 	2
2017-03-17 06 	41
2017-03-17 07 	52
2017-03-17 08 	56
2017-03-17 09 	26
2017-03-17 10 	6
2017-03-17 14 	39
2017-03-17 15 	21
2017-03-17 16 	2
2017-03-18 00 	2
2017-03-18 06 	40
2017-03-18 07 	78
2017-03-18 08 	44
2017-03-18 09 	11
2017-03-18 10 	8
2017-03-18 13 	4
2017-03-18 14 	33
2017-03-18 15 	14
2017-03-18 16 	3
2017-03-19 00 	2
2017-03-19 06 	95
2017-03-19 07 	84
2017-03-19 08 	58
2017-03-19 09 	37
2017-03-19 10 	1
2017-03-19 14 	8
2017-03-19 15 	1
2017-03-20 00 	2
2017-03-20 06 	113
2017-03-20 07 	91
2017-03-20 08 	94
2017-03-20 09 	77
2017-03-20 10 	7
2017-03-20 14 	19
2017-03-20 15 	7
2017-03-20 23 	1
2017-03-21 00 	2
2017-03-21 05 	5
2017-03-21 06 	109
2017-03-21 07 	81
2017-03-21 08 	138
2017-03-21 09 	52
2017-03-21 10 	6
2017-03-21 14 	18
2017-03-21 15 	9
2017-03-21 16 	3
2017-03-22 00 	2
2017-03-22 05 	3
2017-03-22 06 	98
2017-03-22 07 	108
2017-03-22 08 	188
2017-03-22 09 	53
2017-03-22 10 	6
2017-03-22 14 	8
2017-03-22 15 	9
2017-03-22 16 	13
2017-03-23 00 	2
2017-03-23 06 	126
2017-03-23 07 	123
2017-03-23 08 	216
2017-03-23 09 	77
2017-03-23 10 	20
2017-03-23 14 	15
2017-03-23 15 	10
2017-03-23 16 	2
2017-03-23 17 	1
2017-03-24 00 	2
2017-03-24 06 	175
2017-03-24 07 	154
2017-03-24 08 	193
2017-03-24 09 	85
2017-03-24 10 	23
2017-03-24 14 	6
2017-03-24 15 	7
2017-03-25 00 	2
2017-03-25 06 	179
2017-03-25 07 	169
2017-03-25 08 	187
2017-03-25 09 	65
2017-03-25 10 	12
2017-03-26 00 	2
2017-03-26 06 	180
2017-03-26 07 	154
2017-03-26 08 	167
2017-03-26 09 	72
2017-03-26 10 	10
2017-03-26 17 	1
2017-03-27 00 	2
2017-03-27 06 	176
2017-03-27 07 	154
2017-03-27 08 	200
2017-03-27 09 	99
2017-03-27 10 	15
2017-03-27 14 	1
2017-03-27 15 	1
2017-03-28 00 	3
2017-03-28 06 	189
2017-03-28 07 	140
2017-03-28 08 	195
2017-03-28 09 	102
2017-03-28 10 	9
2017-03-29 00 	2
2017-03-29 06 	187
2017-03-29 07 	144
2017-03-29 08 	96
2017-03-29 09 	58
2017-03-29 10 	11
2017-03-30 00 	3
2017-03-30 06 	119
2017-03-30 07 	156
2017-03-30 08 	204
2017-03-30 09 	93
2017-03-30 10 	12
2017-03-31 00 	2
2017-03-31 06 	149
2017-03-31 07 	237
2017-03-31 08 	244
2017-03-31 09 	155
2017-03-31 10 	14
2017-03-31 14 	45
2017-03-31 15 	6
2017-04-01 00 	5
2017-04-01 06 	179
2017-04-01 07 	218
2017-04-01 08 	261
2017-04-01 09 	93
2017-04-01 10 	20
2017-04-01 13 	2
2017-04-01 14 	33
2017-04-01 15 	6
2017-04-02 00 	2
2017-04-02 06 	156
2017-04-02 07 	203
2017-04-02 08 	175
2017-04-02 09 	89
2017-04-02 10 	12
2017-04-02 11 	1
2017-04-02 14 	43
2017-04-02 15 	5
2017-04-02 18 	3
2017-04-02 19 	14
2017-04-03 00 	6
2017-04-03 06 	164
2017-04-03 07 	206
2017-04-03 08 	207
2017-04-03 09 	102
2017-04-03 10 	9
2017-04-03 14 	26
2017-04-03 15 	1
2017-04-03 16 	5
2017-04-04 00 	4
2017-04-04 06 	178
2017-04-04 07 	232
2017-04-04 08 	182
2017-04-04 09 	79
2017-04-04 10 	11
2017-04-04 13 	1
2017-04-04 14 	36
2017-04-04 15 	3
2017-04-04 16 	1
2017-04-05 00 	3
2017-04-05 05 	2
2017-04-05 06 	162
2017-04-05 07 	220
2017-04-05 08 	271
2017-04-05 09 	111
2017-04-05 10 	15
2017-04-05 14 	31
2017-04-05 15 	5
2017-04-05 16 	1
2017-04-06 00 	3
2017-04-06 05 	3
2017-04-06 06 	198
2017-04-06 07 	221
2017-04-06 08 	234
2017-04-06 09 	88
2017-04-06 10 	18
2017-04-06 14 	39
2017-04-06 15 	4
2017-04-06 16 	1
2017-04-07 00 	3
2017-04-07 06 	194
2017-04-07 07 	220
2017-04-07 08 	228
2017-04-07 09 	118
2017-04-07 10 	13
2017-04-07 14 	39
2017-04-07 15 	5
2017-04-07 16 	1
2017-04-07 17 	1
2017-04-08 00 	4
2017-04-08 05 	3
2017-04-08 06 	193
2017-04-08 07 	238
2017-04-08 08 	208
2017-04-08 09 	106
2017-04-08 10 	13
2017-04-08 11 	2
2017-04-08 14 	45
2017-04-08 15 	4
2017-04-09 00 	4
2017-04-09 05 	2
2017-04-09 06 	195
2017-04-09 07 	227
2017-04-09 08 	176
2017-04-09 09 	90
2017-04-09 10 	24
2017-04-09 11 	2
2017-04-09 13 	4
2017-04-09 14 	37
2017-04-09 15 	10
2017-04-10 00 	6
2017-04-10 06 	206
2017-04-10 07 	226
2017-04-10 08 	216
2017-04-10 09 	69
2017-04-10 10 	11
2017-04-10 13 	3
2017-04-10 14 	50
2017-04-10 15 	2
2017-04-11 00 	4
2017-04-11 05 	2
2017-04-11 06 	197
2017-04-11 07 	207
2017-04-11 08 	239
2017-04-11 09 	123
2017-04-11 10 	8
2017-04-11 14 	45
2017-04-11 15 	5
2017-04-12 00 	8
2017-04-12 06 	200
2017-04-12 07 	188
2017-04-12 08 	238
2017-04-12 09 	96
2017-04-12 10 	23
2017-04-12 11 	3
2017-04-12 12 	1
2017-04-12 14 	50
2017-04-12 15 	4
2017-04-12 16 	5
2017-04-13 00 	6
2017-04-13 05 	4
2017-04-13 06 	197
2017-04-13 07 	214
2017-04-13 08 	239
2017-04-13 09 	100
2017-04-13 10 	11
2017-04-13 11 	4
2017-04-13 14 	46
2017-04-13 15 	6
2017-04-13 16 	6
2017-04-14 00 	4
2017-04-14 05 	4
2017-04-14 06 	194
2017-04-14 07 	187
2017-04-14 08 	213
2017-04-14 09 	101
2017-04-14 10 	18
2017-04-14 14 	56
2017-04-14 15 	4
2017-04-14 17 	1
2017-04-15 00 	4
2017-04-15 05 	4
2017-04-15 06 	204
2017-04-15 07 	226
2017-04-15 08 	193
2017-04-15 09 	90
2017-04-15 10 	20
2017-04-15 11 	1
2017-04-15 13 	2
2017-04-15 14 	44
2017-04-15 15 	7
2017-04-15 16 	2
2017-04-16 00 	6
2017-04-16 06 	210
2017-04-16 07 	195
2017-04-16 08 	204
2017-04-16 09 	83
2017-04-16 10 	29
2017-04-16 14 	47
2017-04-16 15 	5
2017-04-16 16 	1
2017-04-17 00 	7
2017-04-17 06 	218
2017-04-17 07 	209
2017-04-17 08 	235
2017-04-17 09 	99
2017-04-17 10 	13
2017-04-17 14 	52
2017-04-17 15 	5
2017-04-17 16 	1
2017-04-18 00 	6
2017-04-18 05 	1
2017-04-18 06 	265
2017-04-18 07 	197
2017-04-18 08 	215
2017-04-18 09 	93
2017-04-18 10 	10
2017-04-18 14 	61
2017-04-18 15 	5
2017-04-18 16 	1
2017-04-19 00 	5
2017-04-19 06 	232
2017-04-19 07 	196
2017-04-19 08 	226
2017-04-19 09 	94
2017-04-19 10 	10
2017-04-19 14 	59
2017-04-19 15 	3
2017-04-19 16 	1
2017-04-20 00 	8
2017-04-20 06 	216
2017-04-20 07 	202
2017-04-20 08 	223
2017-04-20 09 	111
2017-04-20 10 	16
2017-04-20 14 	53
2017-04-20 15 	8
2017-04-20 16 	2
2017-04-20 21 	2
2017-04-21 00 	8
2017-04-21 06 	213
2017-04-21 07 	238
2017-04-21 08 	233
2017-04-21 09 	85
2017-04-21 10 	22
2017-04-21 14 	58
